CID,item_type_id,item_type,size,date,Category,grade,outlet_id,qtym,Net Price,tmtm,division,item_type_id,rm,wire,noc,tlcolt,ecoInd,Area (km)^2,dfc,population,literacy_rate,pcx,uses,appliation group
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,3096,300,4544.28,555,17,186,1,1,3,300,Medium,2497.92,126.9,3853775,0.396,68,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,3179,1500,22138.8,2775,48,558,3,3,2,200,Medium,483.97,218,298528,2.033,53.87,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,3323,100,1747.8,185,13,186,1,1,5,250,Medium,1961,195.4,2204351,0.798,62,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,3419,200,2990.68,370,11,186,1,1,3,200,Low,1456,138,2301673,0.77,62,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,3438,1000,14565,1850,10,186,1,1,4,150,Low,6.45,8.8,500373,0.779,41.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,3552,900,14642.68,1665,32,372,2,2,5,100,Poor,390.6,468.6,264389,0.782,22.54,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,3647,200,3495.6,370,13,186,1,1,6,150,Medium,990,150.1,889053,0.436,45.56,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,3746,500,7282.5,925,18,186,1,1,4,250,Medium,965.44,249.2,1089997,0.368,64,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,1003,100,1747.8,185,11,186,1,1,4,350,High,928,160,1823580,0.643,59.6,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,1005,200,3495.6,370,15,186,1,1,3,300,High,1800,26,4262296,1.047,56.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,1006,300,4641.38,555,39,558,3,3,7,350,Medium,2567,183.1,3318750,0.429,56.52,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,1007,200,3495.6,370,14,186,1,1,7,280,High,2799,196.7,2404250,0.604,51.1,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,1010,100,1495.34,185,16,186,1,1,7,150,Medium,2492,398.5,3078190,0.782,28.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,1011,300,4486.02,555,10,186,1,1,4,450,High,3.81,12,110000,0.55,77.78,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,1015,600,10486.8,1110,13,186,1,1,6,300,High,4394,219.2,2756398,0.801,60.1,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,2191,4700,82146.6,8695,28,372,2,2,7,300,High,3452,235.2,4559404,0.947,51.2,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,2227,400,6991.2,740,34,372,2,2,3,350,High,2407,249.2,3136413,0.759,47.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,2561,100,1514.76,185,12,186,1,1,4,280,Medium,2689,114.4,3764791,0.353,40.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,2665,2600,37869,4810,14,186,1,1,7,230,Medium,1927,97.1,3729989,0.473,39.46,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,3033,200,2951.84,370,14,186,1,1,6,200,Medium,2637,153.3,2725224,0.558,40.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,3060,100,1514.76,185,10,186,1,1,4,250,Medium,171.1,18,794360,1,58.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,3096,400,6991.2,740,17,186,1,1,3,300,Medium,2497.92,126.9,3853775,0.396,68,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,3253,200,3048.94,370,24,372,2,2,4,262,Low,2032,172.2,2816223,0.451,38.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,3419,600,8972.04,1110,11,186,1,1,3,200,Low,1456,138,2301673,0.77,62,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,3442,300,4369.5,555,18,186,1,1,4,280,Medium,1810,386.6,1735062,0.674,49.43,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),04-08-22,Domestic,Grade1,3719,1800,28547.4,3330,48,558,3,3,6,100,High,246,259,431748,0.782,57.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),05-08-22,Domestic,Grade1,2561,300,4544.28,555,12,186,1,1,4,280,Medium,2689,114.4,3764791,0.353,40.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),06-08-22,Domestic,Grade1,1001,200,3029.52,370,11,186,1,1,5,300,High,3085,106,6785254,0.46,53.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),06-08-22,Domestic,Grade1,1003,100,1747.8,185,11,186,1,1,4,350,High,928,160,1823580,0.643,59.6,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),06-08-22,Domestic,Grade1,1004,3300,47171.18,6105,32,372,2,2,7,425,High,5283,253,9352719,0.46,58.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),06-08-22,Domestic,Grade1,1009,200,3495.6,370,15,186,1,1,4,270,High,280.13,25,1385910,1.047,65.16,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),06-08-22,Domestic,Grade1,1010,500,8739,925,16,186,1,1,7,150,Medium,2492,398.5,3078190,0.782,28.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),06-08-22,Domestic,Grade1,2191,500,8739,925,14,186,1,1,7,300,High,3452,235.2,4559404,0.947,51.2,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),06-08-22,Domestic,Grade1,4151,300,5243.4,555,17,186,1,1,3,200,Medium,1896.05,204,2040201,0.61,65,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),07-08-22,Domestic,Grade1,1001,400,5884.26,740,22,372,2,2,5,300,High,3085,106,6785254,0.46,53.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),07-08-22,Domestic,Grade1,1003,1300,19808.4,2405,33,558,3,3,4,350,High,928,160,1823580,0.643,59.6,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),07-08-22,Domestic,Grade1,1005,1100,16740.04,2035,30,372,2,2,3,300,High,1800,26,4262296,1.047,56.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),07-08-22,Domestic,Grade1,1015,2400,41947.2,4440,52,744,4,4,6,300,High,4394,219.2,2756398,0.801,60.1,Fan & Lighting Connection,General
